GeneSet,Term,Coef,P_value,CI_low,CI_high,Adj_P
PI3K_AKT,Intercept,-0.013462408577775394,0.0002988400938853132,-0.020756256204538446,-0.006168560951012342,0.0007269083364777888
PI3K_AKT,"C(disease, Treatment('HC'))[T.BD]",0.055055479168010894,3.463739363732352e-18,0.0426786170111273,0.06743234132489448,2.0782436182394113e-17
PI3K_AKT,"C(disease, Treatment('HC'))[T.CD]",0.000613894109825818,0.9015761611816173,-0.009116652692306874,0.010344440911958509,0.9217942196329014
PI3K_AKT,"C(disease, Treatment('HC'))[T.Colitis]",-0.0017222379004413549,0.87950268047345,-0.023991439599148685,0.020546963798265976,0.9204097818908198
PI3K_AKT,"C(disease, Treatment('HC'))[T.UC]",0.03766882389155575,1.3687063716791497e-14,0.028099412922018376,0.047238234861093124,7.698973340695217e-14
PI3K_AKT,C3_C5_Signaling_score,0.03769849877143536,0.0003310251428859345,0.017122327092362496,0.058274670450508215,0.0007639041758906181
PI3K_AKT,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.BD]",0.07048455010108416,0.00012044315109266271,0.034572216137447376,0.10639688406472095,0.00031882010583351896
PI3K_AKT,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.CD]",0.01293985508380332,0.318705961601895,-0.012497726765930117,0.038377436933536756,0.40399347245310635
PI3K_AKT,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.Colitis]",-0.05851484059112779,0.15075860580180747,-0.13833806458871262,0.021308383406457028,0.22997075461292665
PI3K_AKT,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.UC]",0.03526608378282227,0.011748768125475246,0.007835635667972667,0.06269653189767187,0.022028940235266088
MAPK_ERK,Intercept,0.4225344609673304,2.858269072999351e-255,0.3993088101925774,0.44576011174208335,5.1448843313988325e-254
MAPK_ERK,"C(disease, Treatment('HC'))[T.BD]",0.013628608699786146,0.4978678757347058,-0.025782781947896814,0.053039999347469106,0.5819234911184873
MAPK_ERK,"C(disease, Treatment('HC'))[T.CD]",-0.28818363131388364,1.5636098826563488e-72,-0.3191684137549749,-0.2571988488727924,1.4072488943907141e-71
MAPK_ERK,"C(disease, Treatment('HC'))[T.Colitis]",-0.026616378280266806,0.4618784539303359,-0.09752774470214091,0.0442949881416073,0.5469613270227662
MAPK_ERK,"C(disease, Treatment('HC'))[T.UC]",-0.045278238393482745,0.0035931641620008847,-0.0757499192773896,-0.014806557509575897,0.007349653967729083
MAPK_ERK,C3_C5_Signaling_score,0.3055463245237803,8.003531866493168e-20,0.24002603918823456,0.371066609859326,5.145127628459894e-19
MAPK_ERK,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.BD]",-0.1845888996369927,0.0015615227430059147,-0.29894381487887967,-0.07023398439510574,0.003346120163584103
MAPK_ERK,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.CD]",-0.24980753677963552,1.5676057209177272e-09,-0.33080791172965307,-0.16880716182961797,6.4129324946634295e-09
MAPK_ERK,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.Colitis]",-0.37520214339902885,0.003819753117280468,-0.6293816134334954,-0.1210226733645623,0.007639506234560936
MAPK_ERK,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.UC]",-0.17721809169129696,7.042910280266738e-05,-0.26456431019095766,-0.08987187319163625,0.000198081851632502
NFkB,Intercept,0.21925483866210782,3.213386758272078e-107,0.2000651125558811,0.23844456476833453,3.2133867582720776e-106
NFkB,"C(disease, Treatment('HC'))[T.BD]",0.2005812289316005,3.149125542929296e-33,0.16801836129317646,0.23314409657002452,2.361844157196972e-32
NFkB,"C(disease, Treatment('HC'))[T.CD]",-0.13258563182461205,4.812680660138062e-24,-0.1581861841739095,-0.1069850794753146,3.331855841634043e-23
NFkB,"C(disease, Treatment('HC'))[T.Colitis]",0.04524055320482333,0.13015102033721024,-0.013348534896563576,0.10382964130621022,0.20550161105875303
NFkB,"C(disease, Treatment('HC'))[T.UC]",0.08706775380559062,1.3100823937967719e-11,0.061891141282244155,0.11224436632893708,5.895370772085474e-11
NFkB,C3_C5_Signaling_score,0.2004887214638409,4.305268462307172e-13,0.14635390551467103,0.25462353741301075,2.2792597741626206e-12
NFkB,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.BD]",0.0586005281061237,0.2240931586695103,-0.03588291710170701,0.1530839733139544,0.3102828350808604
NFkB,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.CD]",-0.10595190609111144,0.0019206179257414825,-0.1728768342607092,-0.03902697792151366,0.00401989798411008
NFkB,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.Colitis]",-0.2475950105459587,0.020855061730645524,-0.4576056775921291,-0.03758434349978826,0.03830521542363464
NFkB,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.UC]",-0.0529446166342016,0.1504390429319482,-0.12511267020905134,0.019223436940648146,0.22997075461292665
Rho_GTPase,Intercept,0.1871383829130926,0.0,0.17882177131374707,0.1954549945124381,0.0
Rho_GTPase,"C(disease, Treatment('HC'))[T.BD]",-0.003397419898116108,0.6369938680895767,-0.017509800721612935,0.010714960925380719,0.7077709645439741
Rho_GTPase,"C(disease, Treatment('HC'))[T.CD]",0.02416081874508349,1.991855645759568e-05,0.013065827110537219,0.03525581037962976,5.7828067134955204e-05
Rho_GTPase,"C(disease, Treatment('HC'))[T.Colitis]",-0.05040554180974691,0.00010061491257502245,-0.07579739404368596,-0.02501368957580786,0.0002744043070227885
Rho_GTPase,"C(disease, Treatment('HC'))[T.UC]",-0.014779270288770331,0.007943811105859637,-0.0256905311678899,-0.0038680094096507633,0.015211553181433347
Rho_GTPase,C3_C5_Signaling_score,0.07116228343683204,2.8863005243849693e-09,0.04770086268704793,0.09462370418661614,1.0823626966443635e-08
Rho_GTPase,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.BD]",-0.0383617767185741,0.06632742578319496,-0.07930983986506165,0.002586286427913455,0.10853578764522812
Rho_GTPase,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.CD]",-0.020840916819194158,0.1590094275650231,-0.04984542844273631,0.008163594804347994,0.23460407345659143
Rho_GTPase,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.Colitis]",-0.17695806805835898,0.00013945067319142296,-0.2679743306081272,-0.08594180550859075,0.0003585874453493733
Rho_GTPase,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.UC]",-0.0021697019250447383,0.8918340509622384,-0.03344652516579088,0.029107121315701402,0.9217942196329014
PLC_PKC,Intercept,0.07073975217941597,5.022041414733921e-108,0.0645728642212496,0.07690664013758235,5.649796591575662e-107
PLC_PKC,"C(disease, Treatment('HC'))[T.BD]",-0.02575308783542779,1.435827576535331e-06,-0.03621762261884,-0.015288553052015586,4.456016616833786e-06
PLC_PKC,"C(disease, Treatment('HC'))[T.CD]",0.0026102551262494823,0.5339890617731182,-0.005616841869890688,0.010837352122389652,0.6083419691086157
PLC_PKC,"C(disease, Treatment('HC'))[T.Colitis]",0.03537395357697625,0.00023236028765571948,0.016545527371604172,0.054202379782348334,0.0005809007191392986
PLC_PKC,"C(disease, Treatment('HC'))[T.UC]",0.007706339723510078,0.06192373905216634,-0.00038451825633709774,0.015797197703357253,0.10320623175361057
PLC_PKC,C3_C5_Signaling_score,0.06328095428519324,1.1039148024438278e-12,0.045883970985563835,0.08067793758482265,5.2290701168391844e-12
PLC_PKC,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.BD]",-0.019340891667717488,0.21182704148159773,-0.049704473579872996,0.011022690244438017,0.2978817770834968
PLC_PKC,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.CD]",0.06583084527120087,2.0723994001917047e-09,0.04432357980291872,0.08733811073948301,8.109388957271888e-09
PLC_PKC,"C3_C5_Signaling_score:C(disease, Treatment('HC'))[T.Colitis]",0.048616205697491255,0.15796366345808893,-0.01887367125668145,0.11610608265166396,0.23460407345659143
